Symbol, StockName,Sector,Industry,Currency,Board
THL,TONGKAH HARBOUR PUBLIC COMPANY LIMITED,Resources,Mining,THB,SET
THMUI,THAI MUI CORPORATION PUBLIC COMPANY LIMITED,Services,-,THB,mai
THRE,THAI REINSURANCE PUBLIC COMPANY LIMITED,Financials,Insurance,NaN,SET
THREL,THAIRE LIFE ASSURANCE PUBLIC COMPANY LIMITED,Financials,Insurance,NaN,SET
TIF1,THAI INDUSTRIAL FUND 1,Property & Construction,Property Fund & REITs,THB,SET
TIGER,THAI ENGER HOLDING PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
TIP,DHIPAYA INSURANCE PUBLIC COMPANY LIMITED,Financials,Insurance,NaN,SET
TIPCO,TIPCO FOODS PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
TISCO,TISCO FINANCIAL GROUP PUBLIC COMPANY LIMITED,Financials,Banking,NaN,SET
TITLE,RHOM BHO PROPERTY PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
TIW,THAILAND IRON WORKS PUBLIC COMPANY LIMITED,Industrials,Steel,THB,SET
TK,THITIKORN PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
TKN,TAOKAENOI FOOD & MARKETING PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
TKS,T.K.S. TECHNOLOGIES PUBLIC COMPANY LIMITED,Services,Media & Publishing,THB,SET
TKT,T.KRUNGTHAI INDUSTRIES PUBLIC COMPANY LIMITED,Industrials,Automotive,THB,SET
TLGF,TESCO LOTUS RETAIL GROWTH FREEHOLD AND LEASEHOLD PROPERTY FUND,Property & Construction,Property Fund & REITs,THB,SET
TLHPF,THAILAND HOSPITALITY PROPERTY FUND,Property & Construction,Property Fund & REITs,THB,SET
TM,TECHNO MEDICAL PUBLIC COMPANY LIMITED,Consumer Products,-,THB,mai
TMB,TMB BANK PUBLIC COMPANY LIMITED,Financials,Banking,NaN,SET
TMC,T.M.C. INDUSTRIAL PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
TMD,THAI METAL DRUM MANUFACTURING PUBLIC COMPANY LIMITED,Industrials,Packaging,THB,SET
TMI,TEERA-MONGKOL INDUSTRY PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
TMILL,T S FLOUR MILL PUBLIC COMPANY LIMITED,Agro & Food Industry,-,THB,mai
TMT,TMT STEEL PUBLIC COMPANY LIMITED,Industrials,Steel,THB,SET
TMW,THAI MITSUWA PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
TNDT,THAI NONDESTRUCTIVE TESTING PUBLIC COMPANY LIMITED,Services,-,THB,mai
TNH,THAI NAKARIN HOSPITAL PUBLIC COMPANY LIMITED,Services,-,THB,mai
TNITY,TRINITY WATTHANA PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
TNL,THANULUX PUBLIC COMPANY LIMITED,Consumer Products,Fashion,THB,SET
TNP,THANAPIRIYA PUBLIC COMPANY LIMITED,Services,-,THB,mai
TNPC,THAI NAM PLASTIC PUBLIC COMPANY LIMITED,Industrials,Automotive,THB,SET
TNPF,TRINITY FREEHOLD AND LEASEHOLD PROPERTY FUND,Property & Construction,Property Fund & REITs,THB,SET
TNR,THAI NIPPON RUBBER INDUSTRY PUBLIC COMPANY LIMITED,Consumer Products,Personal Products & Pharmaceuticals,THB,SET
TOA,TOA PAINT (THAILAND) PUBLIC COMPANY LIMITED,Property & Construction,Construction Materials,THB,SET
TOG,THAI OPTICAL GROUP PUBLIC COMPANY LIMITED,Consumer Products,Personal Products & Pharmaceuticals,THB,SET
TOP,THAI OIL PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
TOPP,THAI O.P.P. PUBLIC COMPANY LIMITED,Industrials,Packaging,THB,SET
TPA,THAI POLY ACRYLIC PUBLIC COMPANY LIMITED,Industrials,Petrochemicals & Chemicals,THB,SET
TPAC,THAI PLASPAC PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
TPBI,TPBI PUBLIC COMPANY LIMITED,Industrials,Packaging,THB,SET
TPCH,TPC POWER HOLDING PUBLIC COMPANY LIMITED,Resources,-,THB,mai
TPCORP,TEXTILE PRESTIGE PUBLIC COMPANY LIMITED,Consumer Products,Fashion,THB,SET
TPIPL,TPI POLENE PUBLIC COMPANY LIMITED,Property & Construction,Construction Materials,THB,SET
TPIPP,TPI POLENE POWER PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
TPLAS,THAI PLASTIC INDUSTRIAL (1994) PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
TPOLY,THAI POLYCONS PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,THB,SET
TPP,THAI PACKAGING & PRINTING PUBLIC COMPANY LIMITED,Industrials,Packaging,THB,SET
TPRIME,THAILAND PRIME PROPERTY FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,THB,SET
TPS,THE PRACTICAL SOLUTION PUBLIC COMPANY LIMITED,Technology,-,THB,mai
TQM,TQM CORPORATION PUBLIC COMPANY LIMITED,Financials,Insurance,NaN,SET
TR,THAI RAYON PUBLIC COMPANY LIMITED,Consumer Products,Fashion,THB,SET
TRC,TRC CONSTRUCTION PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,THB,SET
TRITN,TRITON HOLDING PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,THB,SET
TRT,TIRATHAI PUBLIC COMPANY LIMITED,Resources,-,THB,mai
TRU,THAI RUNG UNION CAR PUBLIC COMPANY LIMITED,Industrials,Automotive,THB,SET
TRUBB,THAI RUBBER LATEX GROUP PUBLIC COMPANY LIMITED,Agro & Food Industry,Agribusiness,THB,SET
TRUE,TRUE CORPORATION PUBLIC COMPANY LIMITED,Technology,Information & Communication Technology,THB,SET
TSC,THAI STEEL CABLE PUBLIC COMPANY LIMITED,Industrials,Automotive,THB,SET
TSE,THAI SOLAR ENERGY PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
TSF,THREE SIXTY FIVE PUBLIC COMPANY LIMITED,Services,-,THB,mai
TSI,THE THAI SETAKIJ INSURANCE PUBLIC COMPANY LIMITED,Financials,Insurance,NaN,SET
TSR,THIENSURAT PUBLIC COMPANY LIMITED,Consumer Products,Home & Office Products,THB,SET
TSTE,THAI SUGAR TERMINAL PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,THB,SET
TSTH,TATA STEEL (THAILAND) PUBLIC COMPANY LIMITED,Industrials,Steel,THB,SET
TTA,THORESEN THAI AGENCIES PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,THB,SET
TTCL,TTCL PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,THB,SET
TTI,THAI TEXTILE INDUSTRY PUBLIC COMPANY LIMITED,Consumer Products,Fashion,THB,SET
TTLPF,TALAAD THAI LEASEHOLD PROPERTY FUND,Property & Construction,Property Fund & REITs,THB,SET
TTT,TORAY TEXTILES (THAILAND) PUBLIC COMPANY LIMITED,Consumer Products,Fashion,THB,SET
TTW,TTW PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
TU,THAI UNION GROUP PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
TU-PF,T.U. DOME RESIDENTIAL COMPLEX LEASEHOLD PROPERTY FUND,Property & Construction,Property Fund & REITs,THB,SET
TVD,TV DIRECT PUBLIC COMPANY LIMITED,Services,-,THB,mai
TVI,THAIVIVAT INSURANCE PUBLIC COMPANY LIMITED,Financials,Insurance,NaN,SET
TVO,THAI VEGETABLE OIL PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
TVT,TV THUNDER PUBLIC COMPANY LIMITED,Services,-,THB,mai
TWP,THAI WIRE PRODUCTS PUBLIC COMPANY LIMITED,Industrials,Steel,THB,SET
TWPC,THAI WAH PUBLIC COMPANY LIMITED,Agro & Food Industry,Agribusiness,THB,SET
TWZ,TWZ CORPORATION PUBLIC COMPANY LIMITED,Technology,Information & Communication Technology,THB,SET
TYCN,"TYCOONS WORLDWIDE GROUP (THAILAND) PUBLIC CO.,LTD.",Industrials,Steel,THB,SET
U,U CITY PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
UAC,UAC GLOBAL PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
