Symbol, StockName,Sector,Industry,Currency,Board
ASN,ASN BROKER PUBLIC COMPANY LIMITED,Financials,-,NaN,mai
ASP,ASIA PLUS GROUP HOLDINGS PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
ATP30,ATP30 PUBLIC COMPANY LIMITED,Services,-,THB,mai
AU,AFTER YOU PUBLIC COMPANY LIMITED,Agro & Food Industry,-,THB,mai
AUCT,UNION AUCTION PUBLIC COMPANY LIMITED,Services,-,THB,mai
AWC,ASSET WORLD CORP PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
AYUD,ALLIANZ AYUDHYA CAPITAL PUBLIC COMPANY LIMITED,Financials,Insurance,NaN,SET
B,BEGISTICS PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,THB,SET
B52,B-52 CAPITAL PUBLIC COMPANY LIMITED,Consumer Products,Fashion,THB,SET
BA,BANGKOK AIRWAYS PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,THB,SET
BAFS,BANGKOK AVIATION FUEL SERVICES PCL.,Resources,Energy & Utilities,THB,SET
BAM,BANGKOK COMMERCIAL ASSET MANAGEMENT PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
BANPU,BANPU PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,USD,SET
BAT-3K,HITACHI CHEMICAL STORAGE BATTERY (THAILAND) PUBLIC COMPANY LIMITED,Industrials,Automotive,THB,SET
BAY,BANK OF AYUDHYA PUBLIC COMPANY LIMITED,Financials,Banking,NaN,SET
BBL,BANGKOK BANK PUBLIC COMPANY LIMITED,Financials,Banking,NaN,SET
BC,BOUTIQUE CORPORATION PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
BCH,BANGKOK CHAIN HOSPITAL PUBLIC COMPANY LIMITED,Services,Health Care Services,THB,SET
BCP,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
BCPG,BCPG PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
BCT,BIRLA CARBON (THAILAND) PUBLIC COMPANY LIMITED,Industrials,Petrochemicals & Chemicals,THB,SET
BDMS,BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED,Services,Health Care Services,THB,SET
BEAUTY,BEAUTY COMMUNITY PUBLIC COMPANY LIMITED,Services,Commerce,THB,SET
BEC,BEC WORLD PUBLIC COMPANY LIMITED,Services,Media & Publishing,THB,SET
BEM,BANGKOK EXPRESSWAY AND METRO PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,THB,SET
BFIT,SRISAWAD FINANCE PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
BGC,BG CONTAINER GLASS PUBLIC COMPANY LIMITED,Industrials,Packaging,THB,SET
BGRIM,B.GRIMM POWER PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
BGT,BGT CORPORATION PUBLIC COMPANY LIMITED,Consumer Products,-,THB,mai
BH,BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED,Services,Health Care Services,THB,SET
BIG,BIG CAMERA CORPORATION PUBLIC COMPANY LIMITED,Services,Commerce,THB,SET
BIZ,BUSINESS ALIGNMENT PUBLIC COMPANY LIMITED,Consumer Products,-,THB,mai
BJC,BERLI JUCKER PUBLIC COMPANY LIMITED,Services,Commerce,THB,SET
BJCHI,BJC HEAVY INDUSTRIES PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,THB,SET
BKD,BANGKOK DEC-CON PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,THB,SET
BKER,BUALUANG K.E. RETAIL LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,THB,SET
BKI,BANGKOK INSURANCE PUBLIC COMPANY LIMITED,Financials,Insurance,NaN,SET
BKKCP,BANGKOK COMMERCIAL PROPERTY FUND,Property & Construction,Property Fund & REITs,THB,SET
BLA,BANGKOK LIFE ASSURANCE PUBLIC COMPANY LIMITED,Financials,Insurance,NaN,SET
BLAND,BANGKOK LAND PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
BLISS,BLISS-TEL PUBLIC COMPANY LIMITED,Technology,Information & Communication Technology,THB,SET
BM,BANGKOK SHEET METAL PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
BOFFICE,BHIRAJ OFFICE LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,THB,SET
BOL,BUSINESS ONLINE PUBLIC COMPANY LIMITED,Services,-,THB,mai
BPP,BANPU POWER PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
BR,BANGKOK RANCH PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
BROCK,BAAN ROCK GARDEN PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
BROOK,THE BROOKER GROUP PUBLIC COMPANY LIMITED,Financials,-,NaN,mai
BRR,BURIRAM SUGAR PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
BRRGIF,BURIRAM SUGAR GROUP POWER PLANT INFRASTRUCTURE FUND,Resources,Energy & Utilities,THB,SET
BSBM,BANGSAPHAN BARMILL PUBLIC COMPANY LIMITED,Industrials,Steel,THB,SET
BSM,BUILDERSMART PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
BTNC,BOUTIQUE NEWCITY PUBLIC COMPANY LIMITED,Consumer Products,Fashion,THB,SET
BTS,BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,THB,SET
BTSGIF,BTS RAIL MASS TRANSIT GROWTH INFRASTRUCTURE FUND,Services,Transportation & Logistics,THB,SET
BTW,BT WEALTH INDUSTRIES PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
BUI,BANGKOK UNION INSURANCE PUBLIC COMPANY LIMITED,Financials,Insurance,NaN,SET
BWG,BETTER WORLD GREEN PUBLIC COMPANY LIMITED,Services,Professional Services,THB,SET
B-WORK,BUALUANG OFFICE LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,THB,SET
CAZ,CAZ (THAILAND) PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
CBG,CARABAO GROUP PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
CCET,"CAL-COMP ELECTRONICS (THAILAND) PUBLIC CO., LTD.",Technology,Electronic Components,THB,SET
CCP,CHONBURI CONCRETE PRODUCT PUBLIC COMPANY LIMITED,Property & Construction,Construction Materials,THB,SET
CEN,CAPITAL ENGINEERING NETWORK PUBLIC COMPANY LIMITED,Industrials,Steel,THB,SET
CENTEL,CENTRAL PLAZA HOTEL PUBLIC COMPANY LIMITED,Services,Tourism & Leisure,THB,SET
CFRESH,SEAFRESH INDUSTRY PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
CGD,COUNTRY GROUP DEVELOPMENT PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
CGH,COUNTRY GROUP HOLDINGS PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
CHARAN,CHARAN INSURANCE PUBLIC COMPANY LIMITED,Financials,Insurance,NaN,SET
CHAYO,CHAYO GROUP PUBLIC COMPANY LIMITED,Financials,-,NaN,mai
CHEWA,CHEWATHAI PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
CHG,CHULARAT HOSPITAL PUBLIC COMPANY LIMITED,Services,Health Care Services,THB,SET
CHO,CHO THAVEE PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
CHOTI,"KIANG HUAT SEA GULL TRADING FROZEN FOOD PUBLIC CO., LTD.",Agro & Food Industry,Agribusiness,THB,SET
CHOW,CHOW STEEL INDUSTRIES PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
CHUO,CHUO SENKO (THAILAND) PUBLIC COMPANY LIMITED,Services,-,THB,mai
CI,CHARN ISSARA DEVELOPMENT PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
CIG,C.I.GROUP PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
CIMBT,CIMB THAI BANK PUBLIC COMPANY LIMITED,Financials,Banking,NaN,SET
CITY,CITY STEEL PUBLIC COMPANY LIMITED,Industrials,Steel,THB,SET
CK,CH. KARNCHANG PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,THB,SET
CKP,CK POWER PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
CM,CHIANGMAI FROZEN FOODS PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
CMAN,CHEMEMAN PUBLIC COMPANY LIMITED,Industrials,Petrochemicals & Chemicals,THB,SET
CMC,CHAOPRAYAMAHANAKORN PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
CMO,CMO PUBLIC COMPANY LIMITED,Services,-,THB,mai
CMR,CHIANG MAI RAM MEDICAL BUSINESS PUBLIC COMPANY LIMITED,Services,Health Care Services,THB,SET
CNS,CAPITAL NOMURA SECURITIES PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
CNT,CHRISTIANI & NIELSEN (THAI) PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,THB,SET
COL,COL PUBLIC COMPANY LIMITED,Services,Commerce,THB,SET
COLOR,SALEE COLOUR PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
COM7,COM7 PUBLIC COMPANY LIMITED,Services,Commerce,THB,SET
COMAN,COMANCHE INTERNATIONAL PUBLIC COMPANY LIMITED,Technology,-,THB,mai
COTTO,SCG CERAMICS PUBLIC COMPANY LIMITED,Property & Construction,Construction Materials,THB,SET
CPALL,CP ALL PUBLIC COMPANY LIMITED,Services,Commerce,THB,SET
CPF,CHAROEN POKPHAND FOODS PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
CPH,CASTLE PEAK HOLDINGS PUBLIC COMPANY LIMITED,Consumer Products,Fashion,THB,SET
CPI,CHUMPORN PALM OIL INDUSTRY PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
CPL,CPL GROUP PUBLIC COMPANY LIMITED,Consumer Products,Fashion,THB,SET
CPN,CENTRAL PATTANA PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
CPNCG,CPN COMMERCIAL GROWTH LEASEHOLD PROPERTY FUND,Property & Construction,Property Fund & REITs,THB,SET
CPNREIT,CPN RETAIL GROWTH LEASEHOLD REIT,Property & Construction,Property Fund & REITs,THB,SET
CPR,CPR GOMU INDUSTRIAL PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
CPT,CPT DRIVES AND POWER PUBLIC COMPANY LIMITED,Industrials,Industrial Materials & Machinery,THB,SET
CPTGF,C.P. TOWER GROWTH LEASEHOLD PROPERTY FUND,Property & Construction,Property Fund & REITs,THB,SET
CPW,COPPERWIRED PUBLIC COMPANY LIMITED,Services,Commerce,THB,SET
CRANE,CHU KAI PUBLIC COMPANY LIMITED,Industrials,Industrial Materials & Machinery,THB,SET
CRD,CHIANGMAI RIMDOI PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
CSC,CROWN SEAL PUBLIC COMPANY LIMITED,Industrials,Packaging,THB,SET
CSP,CSP STEEL CENTER PUBLIC COMPANY LIMITED,Industrials,Steel,THB,SET
CSR,CITY SPORTS AND RECREATION PUBLIC COMPANY LIMITED,Services,Tourism & Leisure,THB,SET
CSS,COMMUNICATION AND SYSTEM SOLUTION PUBLIC COMPANY LIMITED,Services,Commerce,THB,SET
CTARAF,CENTARA HOTELS & RESORTS LEASEHOLD PROPERTY FUND,Property & Construction,Property Fund & REITs,THB,SET
CTW,CHAROONG THAI WIRE & CABLE PUBLIC COMPANY LIMITED,Industrials,Industrial Materials & Machinery,THB,SET
CWT,CHAI WATANA TANNERY GROUP PUBLIC COMPANY LIMITED,Industrials,Automotive,THB,SET
D,DENTAL CORPORATION PUBLIC COMPANY LIMITED,Services,-,THB,mai
DCC,DYNASTY CERAMIC PUBLIC COMPANY LIMITED,Property & Construction,Construction Materials,THB,SET
DCON,DCON PRODUCTS PUBLIC COMPANY LIMITED,Property & Construction,Construction Materials,THB,SET
DCORP,DEMETER CORPORATION PUBLIC COMPANY LIMITED,Services,-,THB,mai
DDD,DO DAY DREAM PUBLIC COMPANY LIMITED,Consumer Products,Personal Products & Pharmaceuticals,THB,SET
DELTA,DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED,Technology,Electronic Components,THB,SET
DEMCO,DEMCO PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
DIF,DIGITAL TELECOMMUNICATIONS INFRASTRUCTURE FUND,Technology,Information & Communication Technology,THB,SET
DIMET,DIMET (SIAM) PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
DOD,DOD BIOTECH PUBLIC COMPANY LIMITED,Consumer Products,-,THB,mai
DOHOME,DOHOME PUBLIC COMPANY LIMITED,Services,Commerce,THB,SET
DREIT,DUSIT THANI FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,THB,SET
DRT,DIAMOND BUILDING PRODUCTS PUBLIC COMPANY LIMITED,Property & Construction,Construction Materials,THB,SET
DTAC,TOTAL ACCESS COMMUNICATION PUBLIC COMPANY LIMITED,Technology,Information & Communication Technology,THB,SET
DTC,DUSIT THANI PUBLIC COMPANY LIMITED,Services,Tourism & Leisure,THB,SET
DTCI,D.T.C. INDUSTRIES PUBLIC COMPANY LIMITED,Consumer Products,Home & Office Products,THB,SET
EA,ENERGY ABSOLUTE PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
EASON,EASON PAINT PUBLIC COMPANY LIMITED,Industrials,Automotive,THB,SET
EASTW,EASTERN WATER RESOURCES DEVELOPMENT AND MANAGEMENT PCL.,Resources,Energy & Utilities,THB,SET
ECF,EAST COAST FURNITECH PUBLIC COMPANY LIMITED,Consumer Products,-,THB,mai
ECL,EASTERN COMMERCIAL LEASING PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
EE,ETERNAL ENERGY PUBLIC COMPANY LIMITED,Agro & Food Industry,Agribusiness,THB,SET
EFORL,E FOR L AIM PUBLIC COMPANY LIMITED,Services,-,THB,mai
EGATIF,"NORTH BANGKOK POWER PLANT BLOCK 1 INFRASTRUCTURE FUND, ELECTRICITY GENERATING AUTHORITY OF THAILAND",Resources,Energy & Utilities,THB,SET
EGCO,ELECTRICITY GENERATING PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
EIC,ELECTRONICS INDUSTRY PUBLIC COMPANY LIMITED,Technology,Electronic Components,THB,SET
EKH,EKACHAI MEDICAL CARE PUBLIC COMPANY LIMITED,Services,Health Care Services,THB,SET
EMC,EMC PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,THB,SET
EPCO,EASTERN PRINTING PUBLIC COMPANY LIMITED,Services,Media & Publishing,THB,SET
EPG,EASTERN POLYMER GROUP PUBLIC COMPANY LIMITED,Property & Construction,Construction Materials,THB,SET
ERW,THE ERAWAN GROUP PUBLIC COMPANY LIMITED,Services,Tourism & Leisure,THB,SET
ERWPF,ERAWAN HOTEL GROWTH PROPERTY FUND,Property & Construction,Property Fund & REITs,THB,SET
ESSO,ESSO (THAILAND) PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
ESTAR,EASTERN STAR REAL ESTATE PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
ETE,EASTERN TECHNICAL ENGINEERING PUBLIC COMPANY LIMITED,Services,-,THB,mai
EVER,EVERLAND PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
F&D,FOOD AND DRINKS PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
FANCY,FANCY WOOD INDUSTRIES PUBLIC COMPANY LIMITED,Consumer Products,Home & Office Products,THB,SET
FE,FAR EAST FAME LINE DDB PUBLIC COMPANY LIMITED,Services,Media & Publishing,THB,SET
FLOYD,FLOYD PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
FMT,FURUKAWA METAL (THAILAND) PUBLIC COMPANY LIMITED,Industrials,Industrial Materials & Machinery,THB,SET
FN,FN FACTORY OUTLET PUBLIC COMPANY LIMITED,Services,Commerce,THB,SET
FNS,FINANSA PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
FORTH,FORTH CORPORATION PUBLIC COMPANY LIMITED,Technology,Information & Communication Technology,THB,SET
FPI,FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
FPT,FRASERS PROPERTY (THAILAND) PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
FSMART,FORTH SMART SERVICE PUBLIC COMPANY LIMITED,Services,-,THB,mai
FSS,FINANSIA SYRUS SECURITIES PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
FTE,FIRETRADE ENGINEERING PUBLIC COMPANY LIMITED,Services,Commerce,THB,SET
FTREIT,FRASERS PROPERTY THAILAND INDUSTRIAL FREEHOLD & LEASEHOLD REIT,Property & Construction,Property Fund & REITs,THB,SET
FUTUREPF,FUTURE PARK LEASEHOLD PROPERTY FUND,Property & Construction,Property Fund & REITs,THB,SET
FVC,FILTER VISION PUBLIC COMPANY LIMITED,Services,-,THB,mai
GAHREIT,GRANDE HOSPITALITY REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,THB,SET
GBX,GLOBLEX HOLDING MANAGEMENT PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
GC,GLOBAL CONNECTIONS PUBLIC COMPANY LIMITED,Industrials,Petrochemicals & Chemicals,THB,SET
GCAP,G CAPITAL PUBLIC COMPANY LIMITED,Financials,-,NaN,mai
GEL,GENERAL ENGINEERING PUBLIC COMPANY LIMITED,Property & Construction,Construction Materials,THB,SET
GENCO,"GENERAL ENVIRONMENTAL CONSERVATION PUBLIC CO., LTD.",Services,Professional Services,THB,SET
GFPT,GFPT PUBLIC COMPANY LIMITED,Agro & Food Industry,Agribusiness,THB,SET
GGC,GLOBAL GREEN CHEMICALS PUBLIC COMPANY LIMITED,Industrials,Petrochemicals & Chemicals,THB,SET
GIFT,GRATITUDE INFINITE PUBLIC COMPANY LIMITED,Industrials,Petrochemicals & Chemicals,THB,SET
GJS,G J STEEL PUBLIC COMPANY LIMITED,Industrials,Steel,THB,SET
GL,GROUP LEASE PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
GLAND,GRAND CANAL LAND PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
GLANDRT,GLAND OFFICE LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,THB,SET
GLOBAL,SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED,Services,Commerce,THB,SET
GLOCON,GLOBAL CONSUMER PUBLIC COMPANY LIMITED,Industrials,Packaging,THB,SET
GOLD,GOLDEN LAND PROPERTY DEVELOPMENT PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
GOLDPF,GOLD PROPERTY FUND (LEASE HOLD),Property & Construction,Property Fund & REITs,THB,SET
GPI,GRAND PRIX INTERNATIONAL PUBLIC COMPANY LIMITED,Services,Media & Publishing,THB,SET
GPSC,GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
GRAMMY,GMM GRAMMY PUBLIC COMPANY LIMITED,Services,Media & Publishing,THB,SET
GRAND,GRANDE ASSET HOTELS AND PROPERTY PUBLIC COMPANY LIMITED,Services,Tourism & Leisure,THB,SET
GREEN,GREEN RESOURCES PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
GSC,GLOBAL SERVICE CENTER PUBLIC COMPANY LIMITED,Services,-,THB,mai
GSTEEL,G STEEL PUBLIC COMPANY LIMITED,Industrials,Steel,THB,SET
GTB,GETABEC PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
GULF,GULF ENERGY DEVELOPMENT PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
GUNKUL,GUNKUL ENGINEERING PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
GVREIT,GOLDEN VENTURES LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,THB,SET
GYT,GOODYEAR (THAILAND) PUBLIC COMPANY LIMITED,Industrials,Automotive,THB,SET
HANA,HANA MICROELECTRONICS PUBLIC COMPANY LIMITED,Technology,Electronic Components,THB,SET
HARN,HARN ENGINEERING SOLUTIONS PUBLIC COMPANY LIMITED,Services,-,THB,mai
HFT,HWA FONG RUBBER (THAILAND) PUBLIC COMPANY LIMITED,Industrials,Automotive,THB,SET
HMPRO,HOME PRODUCT CENTER PUBLIC COMPANY LIMITED,Services,Commerce,THB,SET
HPF,HEMARAJ INDUSTRIAL PROPERTY AND LEASEHOLD FUND,Property & Construction,Property Fund & REITs,THB,SET
HPT,HOME POTTERY PUBLIC COMPANY LIMITED,Consumer Products,-,THB,mai
HREIT,HEMARAJ LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,THB,SET
HTC,HAAD THIP PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
HTECH,HALCYON TECHNOLOGY PUBLIC COMPANY LIMITED,Industrials,Industrial Materials & Machinery,THB,SET
HUMAN,HUMANICA PUBLIC COMPANY LIMITED,Technology,Information & Communication Technology,THB,SET
HYDRO,HYDROTEK PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
ICC,I.C.C. INTERNATIONAL PUBLIC COMPANY LIMITED,Consumer Products,Fashion,THB,SET
ICHI,ICHITAN GROUP PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
ICN,INFORMATION AND COMMUNICATION NETWORKS PUBLIC COMPANY LIMITED,Technology,-,THB,mai
IFEC,INTER FAR EAST ENERGY CORPORATION PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
IFS,IFS CAPITAL (THAILAND) PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
IHL,INTERHIDES PUBLIC COMPANY LIMITED,Industrials,Automotive,THB,SET
III,TRIPLE I LOGISTICS PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,THB,SET
ILINK,INTERLINK COMMUNICATION PUBLIC COMPANY LIMITED,Technology,Information & Communication Technology,THB,SET
ILM,INDEX LIVING MALL PUBLIC COMPANY LIMITED,Services,Commerce,THB,SET
IMH,INTERMEDICAL CARE AND LAB HOSPITAL PUBLIC COMPANY LIMITED,Services,-,THB,mai
IMPACT,IMPACT GROWTH REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,THB,SET
INET,INTERNET THAILAND PUBLIC COMPANY LIMITED,Technology,Information & Communication Technology,THB,SET
INGRS,INGRESS INDUSTRIAL (THAILAND) PUBLIC COMPANY LIMITED,Industrials,Automotive,THB,SET
INOX,POSCO-THAINOX PUBLIC COMPANY LIMITED,Industrials,Steel,THB,SET
INSET,INFRASET PUBLIC COMPANY LIMITED,Technology,-,THB,mai
INSURE,INDARA INSURANCE PUBLIC COMPANY LIMITED,Financials,Insurance,NaN,SET
INTUCH,INTOUCH HOLDINGS PUBLIC COMPANY LIMITED,Technology,Information & Communication Technology,THB,SET
IP,INTER PHARMA PUBLIC COMPANY LIMITED,Consumer Products,-,THB,mai
IRC,INOUE RUBBER (THAILAND) PUBLIC COMPANY LIMITED,Industrials,Automotive,THB,SET
IRCP,"INTERNATIONAL RESEARCH CORPORATION PUBLIC CO., LTD.",Technology,-,THB,mai
IRPC,IRPC PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,THB,SET
IT,IT CITY PUBLIC COMPANY LIMITED,Services,Commerce,THB,SET
ITD,ITALIAN-THAI DEVELOPMENT PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,THB,SET
ITEL,INTERLINK TELECOM PUBLIC COMPANY LIMITED,Technology,-,THB,mai
IVL,INDORAMA VENTURES PUBLIC COMPANY LIMITED,Industrials,Petrochemicals & Chemicals,THB,SET
J,JAS ASSET PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
JAS,JASMINE INTERNATIONAL PUBLIC COMPANY LIMITED,Technology,Information & Communication Technology,THB,SET
JASIF,JASMINE BROADBAND INTERNET INFRASTRUCTURE FUND,Technology,Information & Communication Technology,THB,SET
JCK,JCK INTERNATIONAL PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
JCKH,JCK HOSPITALITY PUBLIC COMPANY LIMITED,Agro & Food Industry,-,THB,mai
JCT,JACK CHIA INDUSTRIES (THAILAND) PUBLIC COMPANY LIMITED,Consumer Products,Personal Products & Pharmaceuticals,THB,SET
JKN,JKN GLOBAL MEDIA PUBLIC COMPANY LIMITED,Services,-,THB,mai
JMART,JAY MART PUBLIC COMPANY LIMITED,Technology,Information & Communication Technology,THB,SET
JMT,JMT NETWORK SERVICES PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
JSP,J.S.P. PROPERTY PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
JTS,JASMINE TELECOM SYSTEMS PUBLIC COMPANY LIMITED,Technology,Information & Communication Technology,THB,SET
JUBILE,JUBILEE ENTERPRISE PUBLIC COMPANY LIMITED,Consumer Products,-,THB,mai
JUTHA,JUTHA MARITIME PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,THB,SET
JWD,JWD INFOLOGISTICS PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,THB,SET
K,KINGSMEN C.M.T.I. PUBLIC COMPANY LIMITED,Property & Construction,-,THB,mai
KAMART,KARMARTS PUBLIC COMPANY LIMITED,Services,Commerce,THB,SET
KASET,THAI HA PUBLIC COMPANY LIMITED,Agro & Food Industry,-,THB,mai
KBANK,KASIKORNBANK PUBLIC COMPANY LIMITED,Financials,Banking,NaN,SET
KBS,KHONBURI SUGAR PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
KC,K.C. PROPERTY PUBLIC COMPANY LIMITED,Property & Construction,Property Development,THB,SET
KCAR,KRUNGTHAI CAR RENT AND LEASE PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
KCE,KCE ELECTRONICS PUBLIC COMPANY LIMITED,Technology,Electronic Components,THB,SET
KCM,K.C. METALSHEET PUBLIC COMPANY LIMITED,Industrial,-,THB,mai
KDH,THONBURI MEDICAL CENTRE PUBLIC COMPANY LIMITED,Services,Health Care Services,THB,SET
KGI,KGI SECURITIES (THAILAND) PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
KIAT,KIATTANA TRANSPORT PUBLIC COMPANY LIMITED,Services,-,THB,mai
KKC,KULTHORN KIRBY PUBLIC COMPANY LIMITED,Industrials,Industrial Materials & Machinery,THB,SET
KKP,KIATNAKIN BANK PUBLIC COMPANY LIMITED,Financials,Banking,NaN,SET
KOOL,MASTERKOOL INTERNATIONAL PUBLIC COMPANY LIMITED,Services,-,THB,mai
KPNPF,KPN PROPERTY FUND,Property & Construction,Property Fund & REITs,THB,SET
KSL,KHON KAEN SUGAR INDUSTRY PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,THB,SET
KTB,KRUNG THAI BANK PUBLIC COMPANY LIMITED,Financials,Banking,NaN,SET
KTC,KRUNGTHAI CARD PUBLIC COMPANY LIMITED,Financials,Finance & Securities,NaN,SET
KTECH,KTECH CONSTRUCTION PUBLIC COMPANY LIMITED,-,Companies Under Rehabilitation,NaN,SET
